feature,importance
dry_avg_position,0.2403400103053418
wet_avg_position,0.20714625247729795
team_recent_avg,0.15107833958001787
recent_avg_position,0.034924108648344894
wet_dry_delta,0.029569249323087417
driver_defensive_success_rate,0.028247897586590343
recent_worst_position,0.022867101245227686
circuit_worst_position,0.022158127944861033
circuit_best_position,0.0174298658514375
max_throttle_ratio,0.01522252741494871
team_momentum,0.01516278996180478
brake_avg_g,0.01493616573280735
brake_max_g,0.014193429661167123
team_circuit_avg_position,0.014107863369431818
driver_avg_position_change,0.012560718904363397
wet_sessions,0.010978433182973585
circuit_best_race,0.01082396315073233
driver_std_position_change,0.010041258684905765
circuit_avg_position,0.009643903726999761
team_circuit_best_position,0.009602737443488725
recent_best_position,0.009015786145217017
chicanes,0.008698245853752928
avg_track_temp,0.008526390596363797
total_fast_corners,0.006994429208682595
driver_overtaking_success_rate,0.006562607838458967
top_speed_circuit,0.006229317039596532
avg_air_temp,0.005644587518755506
slow_corner_pct,0.005644460681436077
circuit_avg_race,0.005526614156561157
total_slow_corners,0.005454222251833487
avg_speed_circuit,0.005430168618803875
fast_corner_pct,0.005074202828828509
circuit_abs_position_change,0.004650707201684799
total_medium_corners,0.0046147367624663
dry_sessions,0.004568470313126109
medium_corner_pct,0.004103812254059937
form_trend,0.003080842347978779
circuit_max_gain,0.0027771079325626395
circuit_std_position_change,0.0027468494721248644
circuit_max_loss,0.001488245461068253
races_in_window,0.001118662393938502
avg_rainfall,0.0010147889268697283
team_circuit_sessions,0.0
circuit_avg_position_change,0.0
circuit_sessions,0.0
circuit_overtaking_samples,0.0
driver_overtaking_samples,0.0
