feature,importance
dry_avg_position,0.24535519393797903
wet_avg_position,0.17971654419109476
team_recent_avg,0.17161668688813503
recent_avg_position,0.03683708762054296
team_momentum,0.03138467782695853
wet_dry_delta,0.024834034276043467
recent_worst_position,0.02236851007257918
brake_avg_g,0.017690411380461932
max_throttle_ratio,0.016303412345589834
brake_max_g,0.016234583850457097
avg_track_temp,0.013426045059084863
avg_air_temp,0.013220855314171014
team_circuit_best_position,0.012345785222201455
team_circuit_avg_position,0.011797221639198753
circuit_worst_position,0.011016225493493435
total_medium_corners,0.010522564755028208
circuit_best_race,0.010393574257803746
driver_defensive_success_rate,0.010148238957052858
driver_overtaking_success_rate,0.009396339855335242
driver_avg_position_change,0.009027522631016366
medium_corner_pct,0.00835984952791863
driver_std_position_change,0.008160153801367278
circuit_best_position,0.008155015557263024
wet_sessions,0.0077583455391127785
total_fast_corners,0.00773320424365576
avg_speed_circuit,0.0074575647216090415
slow_corner_pct,0.0069658511539656565
circuit_avg_race,0.0068895925151828555
total_slow_corners,0.006666463237551303
recent_best_position,0.006631710501239748
chicanes,0.006519775216225566
top_speed_circuit,0.006470483320270296
circuit_avg_position,0.006298777705349291
fast_corner_pct,0.005999818731711626
circuit_abs_position_change,0.005134766756462445
dry_sessions,0.004809591369015753
circuit_std_position_change,0.004408576530756109
form_trend,0.0043529538840407
circuit_max_loss,0.0023638023072762846
races_in_window,0.0022227143253461014
circuit_max_gain,0.0016685146406986112
avg_rainfall,0.0013096833540475687
driver_overtaking_samples,2.7275485705853896e-05
circuit_overtaking_samples,0.0
circuit_avg_position_change,0.0
team_circuit_sessions,0.0
circuit_sessions,0.0
