feature,importance
dry_avg_position,0.2269577033702192
wet_avg_position,0.16064990035103802
team_recent_avg,0.1528606341373106
recent_avg_position,0.041123393783581604
team_momentum,0.03255310815852459
driver_defensive_success_rate,0.02972344461565981
recent_worst_position,0.021480047333761847
recent_best_position,0.020165428161450137
wet_dry_delta,0.01768774512603592
circuit_best_position,0.015685011979011718
brake_avg_g,0.01536462499063484
team_circuit_avg_position,0.015292668128827187
circuit_avg_position,0.015123752322683176
circuit_best_race,0.015112018471306308
brake_max_g,0.014911129102901176
circuit_worst_position,0.014241034680664698
driver_std_position_change,0.012225784393346347
max_throttle_ratio,0.011919856506622696
team_circuit_best_position,0.01134012187286254
wet_sessions,0.010941444761187441
driver_overtaking_success_rate,0.010298130905036281
avg_air_temp,0.009642918776967303
circuit_avg_race,0.009076267656356279
total_medium_corners,0.00902336094184034
medium_corner_pct,0.008307845370613921
avg_track_temp,0.008205571983454337
driver_avg_position_change,0.007832347932636987
form_trend,0.007665590580956281
top_speed_circuit,0.007528285880419664
avg_speed_circuit,0.007308892138195687
dry_sessions,0.006817072051272552
slow_corner_pct,0.006244551637601207
fast_corner_pct,0.006190423415401748
total_fast_corners,0.006123272188013509
total_slow_corners,0.005828931037454484
chicanes,0.005561579434657855
circuit_abs_position_change,0.004701287987161555
circuit_std_position_change,0.004078623329279823
circuit_max_gain,0.00363021787641606
avg_rainfall,0.002953162615291171
circuit_max_loss,0.002298306675481608
driver_overtaking_samples,0.0016957443171959523
races_in_window,0.0011643804272153985
circuit_overtaking_samples,0.0009129775307977995
circuit_sessions,0.0007768316952002624
team_circuit_sessions,0.00077457336745188
circuit_avg_position_change,0.0
