feature,importance
dry_avg_position,0.2254610232539043
wet_avg_position,0.1500016049003217
team_recent_avg,0.14746401524950645
recent_avg_position,0.03901193752492625
driver_defensive_success_rate,0.03157459036645944
wet_dry_delta,0.024349828693687903
recent_worst_position,0.023796689539535756
circuit_best_position,0.022956327065948173
circuit_avg_position,0.021808917191472245
circuit_worst_position,0.020866897505188376
recent_best_position,0.020104837338142976
team_circuit_avg_position,0.017067252455316536
team_momentum,0.016096808618952754
brake_max_g,0.016030203761386943
driver_overtaking_success_rate,0.015508522467930367
team_circuit_best_position,0.015297757421981938
circuit_best_race,0.013533895719284117
circuit_avg_race,0.012339656054172952
brake_avg_g,0.012190103473457671
max_throttle_ratio,0.012165916701593706
driver_std_position_change,0.011975368105798141
avg_air_temp,0.010757439370912239
avg_track_temp,0.010167992298582259
chicanes,0.008690727115730684
driver_avg_position_change,0.008306653586220705
slow_corner_pct,0.00751225974051461
total_fast_corners,0.007381085970511687
fast_corner_pct,0.0072564732621542925
top_speed_circuit,0.006971518234808079
form_trend,0.006755020290882439
wet_sessions,0.006539830955933057
circuit_std_position_change,0.0063144788931689495
avg_speed_circuit,0.0057943707809769195
medium_corner_pct,0.0057419014246153305
total_slow_corners,0.00532393403944113
circuit_abs_position_change,0.0051823806786977416
total_medium_corners,0.005165648728478248
circuit_max_loss,0.004060163927746507
circuit_max_gain,0.0031399569959400615
dry_sessions,0.003013756653131364
driver_overtaking_samples,0.0016422883206631824
circuit_overtaking_samples,0.0012845718689513913
races_in_window,0.0012551220707050568
circuit_sessions,0.0008984112523952383
team_circuit_sessions,0.0006293252625452664
avg_rainfall,0.0006125348673248007
circuit_avg_position_change,0.0
