feature,importance
dry_avg_position,0.20925842351399176
wet_avg_position,0.1419528803884055
team_recent_avg,0.13903850749733226
recent_avg_position,0.0388619898561519
team_momentum,0.03544956527668832
driver_defensive_success_rate,0.02652496086891248
wet_dry_delta,0.021771461518517374
brake_avg_g,0.021729138987856732
recent_best_position,0.01855264864042234
brake_max_g,0.017066194061270818
recent_worst_position,0.016974571007532732
team_circuit_avg_position,0.016814499649458085
circuit_avg_position,0.01527049835575852
circuit_worst_position,0.01470066447589422
team_circuit_best_position,0.01469469091647994
driver_std_position_change,0.014084489728340246
max_throttle_ratio,0.013835907606067788
circuit_best_race,0.013469200476738906
circuit_best_position,0.012811767272836451
avg_air_temp,0.012722810065311563
avg_track_temp,0.012436062478423998
form_trend,0.012188880126507014
wet_sessions,0.010232267956394637
total_fast_corners,0.01018856015177125
total_medium_corners,0.010075650378112344
driver_avg_position_change,0.00994258057601956
medium_corner_pct,0.009851685290415432
driver_overtaking_success_rate,0.009493364235500169
fast_corner_pct,0.009492269198119048
avg_speed_circuit,0.009255483206411945
slow_corner_pct,0.009201727614251814
circuit_avg_race,0.009130896615749978
top_speed_circuit,0.009046291617430284
chicanes,0.008786510267970189
total_slow_corners,0.008325849030790169
dry_sessions,0.006734440546070379
circuit_abs_position_change,0.006604612712507607
circuit_std_position_change,0.006303294882821034
circuit_max_loss,0.004405188149410534
circuit_max_gain,0.0031661920436090157
driver_overtaking_samples,0.0025481336894017832
races_in_window,0.0025251989013391463
avg_rainfall,0.0019608305417831624
circuit_overtaking_samples,0.0010198577815701832
team_circuit_sessions,0.000975782122493192
circuit_sessions,0.0005235197211582806
circuit_avg_position_change,0.0
